Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number,vehicle_rate
10,"[2, 1]",45.39999999999956,"[9, 9]","[0, 0]","[0, 0]",25,26
11,"[2, 1]",54.89999999999902,"[10, 1]","[2.3499999999999996, 0]","[2.3499999999999996, 0]",25,26
12,"[2, 1]",56.64999999999892,"[11, 11]","[3.2499999999999964, 0]","[3.2499999999999964, 0]",25,26
13,"[0, 3]",98.79999999999653,"[6, 3]","[0, 0]","[0, 0]",25,26
14,"[2, 1]",67.19999999999833,"[12, 6]","[11.750000000000032, 0]","[9.299999999999997, 0]",25,26
15,"[0, 3]",100.29999999999644,"[13, 13]","[0, 0]","[0, 0]",25,26
16,"[0, 3]",103.39999999999627,"[15, 15]","[0, 0]","[0, 0]",25,26
17,"[2, 1]",64.74999999999847,"[14, 14]","[17.050000000000107, 0]","[1.6500000000000008, 0]",25,26
18,"[2, 1]",67.79999999999829,"[17, 17]","[17.050000000000107, 0]","[0, 0]",25,26
19,"[2, 3]",102.49999999999632,"[18, 16]","[18.70000000000013, 0]","[0, 0]",25,26
20,"[2, 3]",106.2499999999961,"[19, 19]","[16.350000000000097, 0]","[0, 0]",25,26
21,"[2, 1]",78.2499999999977,"[20, 22]","[14.650000000000073, 0]","[0, 0]",25,26
22,"[0, 1]",67.84999999999829,"[16, 18]","[0, 0]","[0, 0]",25,26
23,"[2, 3]",110.84999999999584,"[21, 24]","[13.300000000000054, 0]","[0, 0]",25,26
24,"[0, 3]",102.49999999999632,"[22, 20]","[0, 0]","[0, 0]",25,26
25,"[2, 1]",80.59999999999756,"[23, 28]","[12.100000000000037, 0]","[0, 0]",25,26
26,"[2, 1]",84.09999999999737,"[25, 25]","[11.000000000000021, 0]","[0, 0]",25,26
27,"[2, 3]",119.79999999999534,"[26, 34]","[9.750000000000004, 0]","[0, 0]",25,26
28,"[0, 1]",68.24999999999827,"[24, 21]","[0, 0]","[0, 0]",25,26
29,"[2, 1]",96.99999999999663,"[27, 37]","[11.250000000000025, 0]","[2.799999999999998, 0]",25,26
30,"[2, 3]",127.14999999999492,"[29, 27]","[7.099999999999983, 0]","[0, 0]",25,26
31,"[2, 3]",131.59999999999567,"[30, 30]","[5.699999999999988, 0]","[0, 0]",25,26
32,"[2, 1]",107.04999999999606,"[31, 43]","[5.749999999999988, 0]","[0, 0]",25,26
33,"[2, 3]",140.84999999999778,"[32, 44]","[5.749999999999988, 0]","[0, 0]",25,26
34,"[0, 3]",97.04999999999663,"[28, 23]","[0, 0]","[0, 0]",25,26
35,"[0, 1]",71.89999999999806,"[34, 26]","[0, 0]","[0, 0]",25,26
36,"[2, 1]",108.24999999999599,"[33, 49]","[5.399999999999989, 0]","[0, 0]",25,26
37,"[0, 1]",71.79999999999806,"[35, 35]","[0, 0]","[0, 0]",25,26
38,"[2, 1]",109.49999999999592,"[36, 36]","[4.549999999999992, 0]","[0, 0]",25,26
39,"[0, 1]",77.74999999999773,"[37, 29]","[1.850000000000001, 0]","[1.850000000000001, 0]",25,26
40,"[2, 1]",116.7999999999955,"[38, 54]","[6.749999999999984, 0]","[0, 0]",25,26
41,"[2, 1]",118.79999999999539,"[40, 40]","[8.399999999999984, 0]","[0, 0]",25,26
42,"[0, 1]",73.94999999999794,"[39, 39]","[0, 0]","[0, 0]",25,26
43,"[0, 1]",76.29999999999781,"[42, 42]","[0, 0]","[0, 0]",25,26
44,"[0, 3]",108.79999999999596,"[43, 31]","[0, 0]","[0, 0]",25,26
45,"[2, 1]",121.04999999999526,"[41, 57]","[9.850000000000005, 0]","[0, 0]",25,26
46,"[2, 1]",127.64999999999489,"[45, 59]","[11.950000000000035, 0]","[0, 0]",25,26
47,"[2, 1]",134.04999999999623,"[46, 60]","[16.250000000000096, 0]","[0, 0]",25,26
48,"[2, 3]",172.85000000000505,"[47, 62]","[18.150000000000123, 0]","[0, 0]",25,26
49,"[0, 1]",72.39999999999803,"[44, 32]","[0, 0]","[0, 0]",25,26
50,"[0, 3]",106.59999999999609,"[49, 33]","[0, 0]","[0, 0]",25,26
51,"[0, 3]",109.64999999999591,"[50, 50]","[0, 0]","[0, 0]",25,26
52,"[2, 3]",178.7500000000064,"[48, 65]","[18.200000000000124, 0]","[2.3, 0]",25,26
53,"[2, 1]",166.55000000000362,"[52, 73]","[25.200000000000223, 0]","[9.800000000000004, 0]",25,26
54,"[0, 1]",78.64999999999768,"[51, 38]","[0, 0]","[0, 0]",25,26
55,"[0, 3]",110.59999999999586,"[54, 51]","[0, 0]","[0, 0]",25,26
56,"[0, 3]",114.44999999999564,"[55, 55]","[0, 0]","[0, 0]",25,26
57,"[0, 1]",87.44999999999717,"[56, 41]","[0, 0]","[0, 0]",25,26
58,"[2, 3]",187.75000000000844,"[53, 52]","[14.750000000000075, 0]","[0, 0]",25,26
59,"[0, 1]",92.14999999999691,"[57, 45]","[2.499999999999999, 0]","[2.499999999999999, 0]",25,26
60,"[0, 1]",100.14999999999645,"[59, 46]","[2.1500000000000004, 0]","[2.1500000000000004, 0]",25,26
61,"[0, 3]",130.19999999999536,"[60, 56]","[0, 0]","[0, 0]",25,26
62,"[0, 3]",134.24999999999628,"[61, 61]","[0, 0]","[0, 0]",25,26
63,"[0, 3]",143.04999999999828,"[62, 48]","[2.000000000000001, 0]","[2.000000000000001, 0]",25,26
64,"[2, 1]",153.95000000000076,"[58, 76]","[4.6499999999999915, 0]","[0, 0]",25,26
65,"[0, 3]",143.24999999999832,"[63, 63]","[0, 0]","[0, 0]",25,26
66,"[2, 1]",152.95000000000053,"[64, 64]","[4.899999999999991, 0]","[0, 0]",25,26
67,"[0, 1]",112.09999999999577,"[65, -999]","[0, 0]","[0, 0]",25,26
68,"[0, 1]",114.84999999999562,"[67, 67]","[0, 0]","[0, 0]",25,26
69,"[2, 3]",181.30000000000697,"[66, 58]","[5.999999999999987, 0]","[0, 0]",25,26
70,"[0, 1]",115.1999999999956,"[68, 68]","[0, 0]","[0, 0]",25,26
71,"[2, 1]",152.30000000000038,"[69, 66]","[7.4499999999999815, 0]","[0, 0]",25,26
72,"[2, 3]",187.6000000000084,"[71, 69]","[8.74999999999999, 0]","[0, 0]",25,26
73,"[0, 1]",113.19999999999571,"[70, 70]","[0, 0]","[0, 0]",25,26
74,"[2, 3]",189.25000000000878,"[72, 72]","[10.90000000000002, 0]","[0, 0]",25,26
75,"[0, 1]",118.39999999999542,"[73, 53]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",25,26
76,"[0, 1]",120.4499999999953,"[75, 75]","[0, 0]","[0, 0]",25,26
77,"[2, 1]",156.25000000000128,"[74, -999]","[14.200000000000067, 0]","[0, 0]",25,26
78,"[2, 3]",190.200000000009,"[77, 74]","[21.55000000000017, 0]","[0, 0]",25,26
79,"[2, 3]",194.55000000001,"[78, 78]","[25.350000000000225, 0]","[0, 0]",25,26
0,"[0, 3]",97.84999999999658,"[-999, 7]","[0, 0]","[0, 0]",26,26
1,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",26,26
2,"[2, 1]",37.99999999999998,"[1, -999]","[0, 0]","[0, 0]",26,26
3,"[2, 3]",71.49999999999808,"[2, 1]","[0, 0]","[0, 0]",26,26
4,"[2, 3]",75.09999999999788,"[3, 3]","[0, 0]","[0, 0]",26,26
5,"[2, 1]",46.24999999999951,"[4, 2]","[0, 0]","[0, 0]",26,26
6,"[0, 1]",75.69999999999784,"[0, 15]","[2.7499999999999982, 0]","[2.7499999999999982, 0]",26,26
7,"[2, 3]",74.6999999999979,"[5, 4]","[0, 0]","[0, 0]",26,26
8,"[2, 1]",46.74999999999948,"[7, 5]","[0, 0]","[0, 0]",26,26
9,"[0, 1]",72.64999999999802,"[6, 6]","[0, 0]","[0, 0]",26,26
10,"[0, 3]",105.34999999999616,"[9, 17]","[0, 0]","[0, 0]",26,26
11,"[2, 3]",77.74999999999773,"[8, 0]","[0, 0]","[0, 0]",26,26
12,"[0, 1]",76.5499999999978,"[10, 18]","[0, 0]","[0, 0]",26,26
13,"[2, 3]",78.2499999999977,"[11, 11]","[0, 0]","[0, 0]",26,26
14,"[2, 1]",46.04999999999952,"[13, 8]","[0, 0]","[0, 0]",26,26
15,"[2, 1]",49.699999999999314,"[14, 14]","[0, 0]","[0, 0]",26,26
16,"[0, 3]",103.09999999999629,"[12, 19]","[0, 0]","[0, 0]",26,26
17,"[2, 3]",78.1999999999977,"[15, 13]","[0, 0]","[0, 0]",26,26
18,"[2, 1]",57.749999999998856,"[17, 9]","[2.9499999999999975, 0]","[2.9499999999999975, 0]",26,26
19,"[2, 3]",90.599999999997,"[18, 10]","[0, 0]","[0, 0]",26,26
20,"[2, 3]",98.94999999999652,"[19, 16]","[0, 0]","[0, 0]",26,26
21,"[2, 1]",76.64999999999779,"[20, 22]","[2.3999999999999995, 0]","[2.3999999999999995, 0]",26,26
22,"[0, 1]",67.6999999999983,"[16, 12]","[0, 0]","[0, 0]",26,26
23,"[0, 3]",101.54999999999637,"[22, 20]","[0, 0]","[0, 0]",26,26
24,"[0, 1]",78.64999999999768,"[23, 25]","[0, 0]","[0, 0]",26,26
25,"[2, 1]",71.1999999999981,"[21, 21]","[16.800000000000104, 0]","[3.2499999999999964, 0]",26,26
26,"[2, 1]",84.29999999999735,"[25, 30]","[14.950000000000077, 0]","[3.2999999999999963, 0]",26,26
27,"[2, 1]",93.24999999999685,"[26, 35]","[11.900000000000034, 0]","[1.7500000000000009, 0]",26,26
28,"[2, 1]",100.69999999999642,"[27, 39]","[11.050000000000022, 0]","[2.3999999999999995, 0]",26,26
29,"[2, 3]",130.64999999999546,"[28, 23]","[7.149999999999983, 0]","[0, 0]",26,26
30,"[0, 1]",68.64999999999824,"[24, 24]","[0, 0]","[0, 0]",26,26
31,"[2, 1]",106.94999999999607,"[29, 42]","[5.649999999999988, 0]","[0, 0]",26,26
32,"[2, 1]",113.74999999999568,"[31, 44]","[5.399999999999989, 0]","[0, 0]",26,26
33,"[2, 1]",120.3999999999953,"[32, 45]","[5.849999999999987, 0]","[0, 0]",26,26
34,"[2, 1]",127.14999999999492,"[33, 46]","[6.199999999999986, 0]","[0, 0]",26,26
35,"[0, 1]",67.99999999999828,"[30, 26]","[0, 0]","[0, 0]",26,26
36,"[2, 3]",163.50000000000293,"[34, 49]","[14.100000000000065, 0]","[0, 0]",26,26
37,"[2, 3]",176.50000000000588,"[36, 57]","[19.95000000000015, 0]","[2.3499999999999996, 0]",26,26
38,"[2, 1]",145.3999999999988,"[37, -999]","[19.25000000000014, 0]","[0, 0]",26,26
39,"[0, 1]",68.69999999999824,"[35, 27]","[0, 0]","[0, 0]",26,26
40,"[0, 1]",75.94999999999783,"[39, 28]","[1.7500000000000009, 0]","[1.7500000000000009, 0]",26,26
41,"[2, 1]",144.54999999999862,"[38, 38]","[20.85000000000016, 0]","[0, 0]",26,26
42,"[0, 1]",75.74999999999784,"[40, 40]","[0, 0]","[0, 0]",26,26
43,"[2, 1]",145.69999999999888,"[41, 41]","[22.450000000000184, 0]","[0, 0]",26,26
44,"[0, 1]",80.44999999999757,"[42, 31]","[2.3999999999999995, 0]","[2.3999999999999995, 0]",26,26
45,"[0, 1]",88.8499999999971,"[44, 32]","[1.7500000000000009, 0]","[1.7500000000000009, 0]",26,26
46,"[0, 1]",95.54999999999671,"[45, 33]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",26,26
47,"[2, 1]",141.99999999999804,"[43, 43]","[24.050000000000207, 0]","[0, 0]",26,26
48,"[0, 3]",123.19999999999514,"[46, 29]","[0, 0]","[0, 0]",26,26
49,"[0, 3]",127.24999999999491,"[48, 48]","[0, 0]","[0, 0]",26,26
50,"[2, 1]",146.59999999999908,"[47, 71]","[22.15000000000018, 0]","[0, 0]",26,26
51,"[2, 1]",159.65000000000205,"[50, 79]","[29.650000000000286, 0]","[6.699999999999984, 0]",26,26
52,"[2, 3]",191.60000000000932,"[51, 72]","[23.300000000000196, 0]","[0, 0]",26,26
53,"[2, 1]",165.35000000000335,"[52, 51]","[24.25000000000021, 0]","[0, 0]",26,26
54,"[0, 3]",126.69999999999494,"[49, 36]","[1.950000000000001, 0]","[1.950000000000001, 0]",26,26
55,"[2, 1]",167.00000000000372,"[53, 53]","[26.700000000000244, 0]","[0, 0]",26,26
56,"[2, 3]",199.80000000001118,"[55, 52]","[28.100000000000264, 0]","[0, 0]",26,26
57,"[0, 3]",124.59999999999506,"[54, 54]","[0, 0]","[0, 0]",26,26
