,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
10,10,"[-7.6832004777749825, -7.811148917962481]","[0.531943543476777, 0.468056456523223]","[0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",1.1483516045170734,1.2297447078321582
11,11,"[-3.5995290056573666, -3.6370771173781486]","[0.5093859252188531, 0.490614074781147]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",0.930053883054885,0.922554489031118
12,12,"[-2.7064933581957074, -2.7261832085420497]","[0.5049223035602061, 0.49507769643979394]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",0.9101937289521496,0.772929357721881
13,13,"[-3.3072051460337093, -3.3507502883133347]","[0.5108845657001392, 0.48911543429986093]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]",0.7173118735188772,0.9054805892002632
14,14,"[-7.323097959784293, -7.502640962962033]","[0.5447655612897683, 0.4552344387102318]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0.9876422094215832,1.2305758690050164
15,15,"[-4.24654644858955, -4.315035514666399]","[0.5171155766315165, 0.4828844233684835]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",1.049949822077155,0.988571451684492
16,16,"[-4.757405224287826, -4.833604606935472]","[0.5190406335113047, 0.48095936648869525]","[1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1.0128420401417957,1.0444308657929866
17,17,"[-6.528847865091915, -6.66787544698807]","[0.5347010197625585, 0.46529898023744165]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",1.2846595689730385,1.1490656852021406
18,18,"[-3.6320892066861763, -3.691402904299767]","[0.5148240785907783, 0.4851759214092216]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",0.9336869457772368,0.9233967401190656
19,19,"[-7.7693561829283135, -8.02482596742416]","[0.5635223402107256, 0.4364776597892744]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1.0084911436696475,1.247448281128187
20,20,"[-2.64718876317541, -2.6850926286443775]","[0.5094748320177579, 0.49052516798224216]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0]",0.7928541816484148,0.7677032525423005
21,21,"[-2.5041560609947227, -2.533490080959295]","[0.507332979172302, 0.4926670208276979]","[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",0.8987223420550426,0.7255062881954569
22,22,"[-3.744718987290346, -3.81062671499074]","[0.5164709701008283, 0.4835290298991717]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",1.2660771077406183,0.9087060187902616
23,23,"[-9.451235833548305, -9.886668380105082]","[0.6071701615029593, 0.39282983849704056]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1]",1.1835341523799678,1.2938504442504717
24,24,"[-3.9538322204655474, -4.069932571212009]","[0.5289925284387953, 0.4710074715612047]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",0.5763070257469474,1.0196433273969019
25,25,"[-2.93592720896855, -2.9878457802842346]","[0.5129767280211922, 0.48702327197880785]","[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1]",0.929104251660825,0.8094621780459791
26,26,"[-4.539226517679483, -4.67585770002132]","[0.534104756225876, 0.465895243774124]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",0.9655494513173656,1.0206722679893547
27,27,"[-3.262062633828839, -3.3269298177952447]","[0.5162111120292127, 0.4837888879707873]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1.0696355534427306,0.8530683394972738
28,28,"[-2.476206618217183, -2.5094820847373653]","[0.5083180991216466, 0.49168190087835345]","[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",1.083873278420174,0.7042668017045299
29,29,"[-2.3857710550229783, -2.4200351868787746]","[0.5085651949968331, 0.49143480500316694]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]",1.1232400994474456,0.6795141803421869
30,30,"[-3.77466643181895, -3.8826781226515354]","[0.5269767007760656, 0.4730232992239344]","[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",1.0735697407664877,0.9221939906831184
31,31,"[-5.574825858444159, -5.854721989333775]","[0.5695207588590684, 0.43047924114093156]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",0.7836866644143281,1.1337950742316314
